,gameweek,manager,net_points,player_name,photo,team_in,player_name_out,team_out,in_points,out_points,gw_until_out
268,29,Santi,0.0,Mings,149484,AVL,Emerson Royal,TOT,0.0,0.0,
269,29,Santi,0.0,Álvarez,461358,MCI,Richarlison,TOT,0.0,0.0,
278,30,Santi,0.0,Wilson,75115,NEW,João Félix,CHE,0.0,0.0,
281,30,Santi,0.0,Aguerd,210494,WHU,Senesi,BOU,0.0,0.0,1.0
287,31,Santi,0.0,Gündogan,59859,MCI,A.Doucouré,EVE,0.0,0.0,
297,32,Santi,0.0,Álex Moreno,106468,AVL,Veltman,BHA,0.0,0.0,
309,32,Santi,0.0,Webster,110735,BHA,W.Fofana,CHE,0.0,0.0,2.0
314,33,Santi,0.0,A.Doucouré,121599,EVE,Solomon,FUL,0.0,0.0,
326,34,Santi,0.0,Sinisterra,224995,LEE,Wilson,FUL,0.0,0.0,0.0
327,34,Santi,0.0,Gibbs-White,222531,NFO,Sinisterra,LEE,0.0,0.0,
331,35,Santi,0.0,Webster,110735,BHA,Veltman,BHA,0.0,0.0,1.0
334,36,Santi,0.0,Dawson,60232,WOL,Zouma,WHU,0.0,0.0,
344,36,Santi,0.0,Veltman,111478,BHA,Webster,BHA,0.0,0.0,1.0
346,37,Santi,0.0,Pedro Porro,441164,TOT,Kelly,BOU,0.0,0.0,
351,37,Santi,0.0,McNeil,433154,EVE,Murphy,NEW,0.0,0.0,
352,37,Santi,0.0,Ward,55494,CRY,Veltman,BHA,0.0,0.0,
354,38,Santi,0.0,Ortega,88248,MCI,Arrizabalaga,CHE,0.0,0.0,
141,20,Shrey,0.0,Mahrez,103025,MCI,Saint-Maximin,NEW,0.0,0.0,
172,22,Shrey,0.0,Son,85971,TOT,Partey,ARS,0.0,0.0,
196,23,Shrey,0.0,Isak,219168,NEW,Ings,WHU,0.0,0.0,
219,25,Shrey,0.0,Solanke,154566,BOU,Edouard,CRY,0.0,0.0,
283,31,Shrey,0.0,Firmino,92217,LIV,Ings,WHU,1.0,1.0,2.0
296,31,Shrey,0.0,Wan-Bissaka,214590,MUN,Ream,FUL,0.0,0.0,
300,32,Shrey,0.0,Dalot,216051,MUN,Koulibaly,CHE,0.0,0.0,
301,32,Shrey,0.0,Kilman,214048,WOL,Martínez,MUN,0.0,0.0,
310,33,Shrey,0.0,Antonio,57531,WHU,Firmino,LIV,0.0,0.0,
319,34,Shrey,0.0,Vardy,101668,LEI,Martial,MUN,0.0,0.0,
1,5,Yahya,0.0,Andreas,156689,FUL,Bowen,WHU,0.0,0.0,
3,5,Yahya,0.0,Burn,78916,NEW,Cash,AVL,0.0,0.0,
7,6,Yahya,0.0,Mee,51927,BRE,Chilwell,CHE,0.0,0.0,
132,18,Yahya,0.0,Eze,232413,CRY,Rice,WHU,0.0,0.0,
226,26,Yahya,0.0,Henry,194010,BRE,Laporte,MCI,0.0,0.0,
227,26,Yahya,0.0,Ward-Prowse,101178,SOU,Mount,CHE,0.0,0.0,
228,26,Yahya,0.0,Bernardo,165809,MCI,Sterling,CHE,0.0,0.0,
8,6,Youssef,0.0,Álvarez,461358,MCI,Bamford,LEE,1.0,1.0,5.0
31,7,Youssef,0.0,Schär,119471,NEW,Davies,TOT,0.0,0.0,
44,10,Youssef,0.0,Almirón,179018,NEW,Sinisterra,LEE,0.0,0.0,
161,21,Youssef,0.0,Johnson,242898,NFO,Daka,LEI,0.0,0.0,
236,27,Youssef,0.0,Mac Allister,243016,BHA,Tetê,LEI,0.0,0.0,
237,27,Youssef,0.0,Dunk,83299,BHA,Robinson,FUL,0.0,0.0,
238,27,Youssef,0.0,Bazunu,456350,SOU,Henderson,NFO,0.0,0.0,
262,29,Youssef,0.0,Adams,200439,SOU,Antonio,WHU,0.0,0.0,
347,37,Youssef,0.0,Awoniyi,210156,NFO,Nketiah,ARS,0.0,0.0,
348,37,Youssef,0.0,Pinnock,231065,BRE,Toti,WOL,0.0,0.0,
349,37,Youssef,0.0,Jensen,207283,BRE,Danilo,NFO,0.0,0.0,
0,5,Ali,-1.0,Gray,172632,EVE,Lerma,BOU,2.0,3.0,1.0
6,5,Ali,-1.0,Elanga,449434,MUN,Fornals,WHU,1.0,2.0,1.0
17,6,Ali,-1.0,Estupiñán,204214,BHA,Koulibaly,CHE,1.0,2.0,1.0
76,13,Ali,-1.0,Azpilicueta,41328,CHE,Chilwell,CHE,2.0,3.0,2.0
158,20,Ali,-1.0,Doherty,87835,TOT,Tete,FUL,1.0,2.0,1.0
183,22,Ali,-1.0,Pedro Porro,441164,TOT,Aurier,NFO,0.0,1.0,1.0
198,23,Ali,-1.0,Pickford,111234,EVE,Martínez,AVL,1.0,2.0,1.0
271,29,Ali,-1.0,Summerville,450070,LEE,Ouattara,BOU,2.0,3.0,1.0
316,33,Ali,-1.0,Johnstone,101982,CRY,Pickford,EVE,0.0,1.0,1.0
12,6,Ruslan,-1.0,Kilman,214048,WOL,Schär,NEW,7.0,8.0,8.0
188,22,Ruslan,-1.0,D.D.Fofana,520295,CHE,Isak,NEW,1.0,2.0,2.0
138,19,Sami,-1.0,De Cordova-Reid,96994,FUL,Mahrez,MCI,5.0,6.0,1.0
166,21,Sami,-1.0,Gibbs-White,222531,NFO,Benrahma,WHU,2.0,3.0,1.0
260,28,Sami,-1.0,Zaha,82403,CRY,Sancho,MUN,3.0,4.0,2.0
266,29,Sami,-1.0,Dalot,216051,MUN,Álex Moreno,AVL,7.0,8.0,1.0
338,36,Sami,-1.0,Tierney,192895,ARS,Cash,AVL,2.0,3.0,2.0
315,33,Santi,-1.0,Wilson,153682,FUL,Rodrigo,LEE,1.0,2.0,1.0
332,35,Santi,-1.0,J.Ayew,80146,CRY,Harrison,LEE,1.0,2.0,1.0
39,9,Ali,-2.0,Tielemans,166989,LEI,Eriksen,MUN,5.0,7.0,2.0
51,11,Ali,-2.0,Tarkowski,17761,EVE,Kehrer,WHU,1.0,3.0,1.0
163,21,Ali,-2.0,Bailey,215711,AVL,Douglas Luiz,AVL,3.0,5.0,1.0
232,26,Ali,-2.0,Garnacho,493105,MUN,Enzo,CHE,1.0,3.0,1.0
256,28,Ali,-2.0,Ouattara,533463,BOU,Summerville,LEE,2.0,4.0,1.0
272,29,Ali,-2.0,Gibbs-White,222531,NFO,Antony,MUN,4.0,6.0,1.0
2,5,Ruslan,-2.0,Kanté,116594,CHE,Tielemans,LEI,0.0,2.0,1.0
19,6,Ruslan,-2.0,Carvalho,244858,LIV,Douglas Luiz,AVL,1.0,3.0,3.0
275,30,Ruslan,-2.0,Mount,184341,CHE,Gündogan,MCI,0.0,2.0,1.0
73,13,Sami,-2.0,Rice,204480,WHU,March,BHA,3.0,5.0,1.0
168,21,Sami,-2.0,Kulusevski,445044,TOT,Son,TOT,8.0,10.0,7.0
233,26,Sami,-2.0,James,225796,CHE,Semedo,WOL,3.0,5.0,6.0
234,26,Sami,-2.0,Saint-Maximin,170137,NEW,Iwobi,EVE,5.0,7.0,3.0
23,7,Santi,-2.0,Collins,432830,WOL,Webster,BHA,-3.0,-1.0,4.0
118,17,Santi,-2.0,Willock,200089,NEW,Eze,CRY,9.0,11.0,3.0
245,27,Santi,-2.0,Olise,443661,CRY,Ouattara,BOU,4.0,6.0,1.0
128,18,Ali,-3.0,Bentancur,202993,TOT,Bailey,AVL,0.0,3.0,1.0
289,31,Ali,-3.0,Olise,443661,CRY,Buendía,AVL,8.0,11.0,3.0
108,16,Ruslan,-3.0,James,225796,CHE,Faes,LEI,1.0,4.0,3.0
