manager,player_name,team,photo,player_id,points,ppg
Youssef,Danilo,NFO,513046,1,2.0,2.0
Youssef,Jensen,BRE,207283,1,2.0,2.0
Sami,Álex Moreno,AVL,106468,1,6.0,6.0
Ali,Rodri,MCI,220566,1,3.0,3.0
Shrey,Weghorst,MUN,120202,1,2.0,2.0
Santi,Richarlison,TOT,212319,1,1.0,1.0
Sami,Eze,CRY,232413,1,3.0,3.0
Sami,Gibbs-White,NFO,222531,1,2.0,2.0
Santi,Ortega,MCI,88248,1,0.0,0.0
Santi,Olise,CRY,443661,1,4.0,4.0
Santi,Neves,WOL,171317,1,2.0,2.0
Santi,Koulibaly,CHE,86129,1,1.0,1.0
Sami,Iheanacho,LEI,173515,1,8.0,8.0
Santi,Johnson,NFO,242898,1,2.0,2.0
Santi,Jensen,BRE,207283,1,8.0,8.0
Santi,Iwobi,EVE,153133,1,3.0,3.0
Sami,Iwobi,EVE,153133,1,4.0,4.0
Sami,Justin,LEI,220627,1,6.0,6.0
Santi,Gomez,LIV,171287,1,0.0,0.0
Sami,Mac Allister,BHA,243016,1,1.0,1.0
Sami,Mahrez,MCI,103025,1,6.0,6.0
Sami,Malacia,MUN,222690,1,9.0,9.0
Sami,March,BHA,109345,1,3.0,3.0
Santi,Enzo,CHE,448047,1,2.0,2.0
Sami,Martial,MUN,148225,1,0.0,0.0
Sami,Meslier,LEE,437495,1,1.0,1.0
Sami,Murphy,NEW,114243,1,6.0,6.0
Santi,Collins,WOL,432830,1,-3.0,-3.0
Sami,Nørgaard,BRE,128295,1,3.0,3.0
Sami,R.Sessegnon,TOT,184349,1,5.0,5.0
Santi,Bueno,WOL,490721,1,1.0,1.0
Sami,Rice,WHU,204480,1,3.0,3.0
Santi,Billing,BOU,168991,1,2.0,2.0
Sami,Tierney,ARS,192895,1,0.0,0.0
Sami,Eriksen,MUN,80607,1,3.0,3.0
Sami,Edouard,CRY,199670,1,1.0,1.0
Sami,Dier,TOT,93264,1,3.0,3.0
Shrey,Isak,NEW,219168,1,2.0,2.0
Ali,Sancho,MUN,209243,1,4.0,4.0
Ali,Sánchez,TOT,173904,1,1.0,1.0
Dani,Mitoma,BHA,451340,1,0.0,0.0
Dani,Rodrigo,LEE,80954,1,1.0,1.0
Ruslan,Bamford,LEE,106617,1,2.0,2.0
Ruslan,Carvalho,LIV,244858,1,0.0,0.0
Ruslan,Cucurella,CHE,179268,1,3.0,3.0
Ruslan,D.D.Fofana,CHE,520295,1,1.0,1.0
Ruslan,Darwin,LIV,447203,1,2.0,2.0
Ruslan,Eriksen,MUN,80607,1,2.0,2.0
Shrey,Lloris,TOT,37915,1,2.0,2.0
Ruslan,Faes,LEI,218218,1,6.0,6.0
Sami,Zaha,CRY,82403,1,2.0,2.0
Ruslan,Gündogan,MCI,59859,1,6.0,6.0
Sami,Diego Costa,WOL,18507,1,2.0,2.0
Ruslan,Martínez,MUN,221820,1,7.0,7.0
Ruslan,Mykolenko,EVE,224967,1,1.0,1.0
Ruslan,Pinnock,BRE,231065,1,6.0,6.0
Ruslan,Ramsey,AVL,232653,1,9.0,9.0
Ruslan,Romero,TOT,221632,1,1.0,1.0
Ruslan,Schär,NEW,119471,1,0.0,0.0
Ruslan,Smith Rowe,ARS,209289,1,0.0,0.0
Santi,Wissa,BRE,216646,1,7.0,7.0
Ruslan,Sterling,CHE,103955,1,2.0,2.0
Santi,Webster,BHA,110735,1,0.0,0.0
Ruslan,Watkins,AVL,178301,1,7.0,7.0
Santi,Toney,BRE,144485,1,9.0,9.0
Santi,Tete,FUL,167074,1,1.0,1.0
Ali,A.Armstrong,SOU,155511,1,2.0,2.0
