,time,TraceabilityCode,Defect
284,2023-02-02 10:08:46,1010123033090402,Pofalowanie (waves)
285,2023-02-02 10:08:39,1010123033090307,Pofalowanie (waves)
286,2023-02-02 10:08:31,1010123033090252,Pofalowanie (waves)
287,2023-02-02 07:57:50,1010223033065615,Odciśnięte miejsce (marks)
288,2023-02-02 06:14:11,1010123033051233,Odciśnięte miejsce (marks)
289,2023-02-02 06:13:17,1010123033051130,Odciśnięte miejsce (marks)
290,2023-02-01 13:20:59,1010123032121703,Przeciągnięcie (thinning)
291,2023-02-01 12:35:04,1010123032113305,Przeciągnięcie (thinning)
292,2023-02-01 02:40:02,1010123032013823,Pikos (marks/contamination)
293,2023-02-01 02:39:50,1010123032013814,Pikos (marks/contamination)
294,2023-02-01 02:39:27,1010123032013729,Pikos (marks/contamination)
295,2023-02-01 02:39:18,1010123032013720,Pikos (marks/contamination)
296,2023-02-01 02:39:09,1010123032013720,Pikos (marks/contamination)
297,2023-02-01 02:38:57,1010123032013711,Pikos (marks/contamination)
298,2023-02-01 02:38:48,1010123032013702,Pikos (marks/contamination)
299,2023-02-01 02:38:36,1010123032013652,Pikos (marks/contamination)
300,2023-01-31 19:21:09,1010123031181730,Wgniot (dent)
301,2023-01-30 19:26:55,1010123030182428,Odciśnięte miejsce (marks)
302,2023-01-30 17:05:41,1010123030155925,Pikos (marks/contamination)
303,2023-01-30 17:05:33,1010123030155915,Pikos (marks/contamination)
304,2023-01-30 17:05:25,1010123030155915,Pikos (marks/contamination)
305,2023-01-30 17:05:19,1010123030155904,Pikos (marks/contamination)
306,2023-01-30 17:05:12,1010123030155853,Pikos (marks/contamination)
307,2023-01-30 17:05:04,1010123030155853,Pikos (marks/contamination)
308,2023-01-30 17:04:55,1010123030155853,Pikos (marks/contamination)
309,2023-01-30 17:04:46,1010123030155843,Pikos (marks/contamination)
310,2023-01-30 17:04:37,1010123030155832,Pikos (marks/contamination)
311,2023-01-30 17:04:25,1010123030155821,Pikos (marks/contamination)
312,2023-01-30 17:04:16,1010123030155810,Pikos (marks/contamination)
313,2023-01-30 17:04:05,1010123030155800,Pikos (marks/contamination)
314,2023-01-30 16:47:33,1010123030154139,Pikos (marks/contamination)
315,2023-01-30 16:46:03,1010123030154056,Pikos (marks/contamination)
316,2023-01-30 16:43:05,1010123030153823,Pikos (marks/contamination)
317,2023-01-30 16:42:56,1010123030153921,Pikos (marks/contamination)
318,2023-01-30 16:39:29,1010123030153630,Odciśnięte miejsce (marks)
319,2023-01-30 16:24:59,1010123030152135,Deformacja (deformation)
320,2023-01-30 16:03:55,1010223030145911,Deformacja (deformation)
321,2023-01-30 16:01:27,1010223030145705,Deformacja (deformation)
322,2023-01-30 15:57:59,1010223030145447,Odciśnięte miejsce (marks)
323,2023-01-30 15:56:27,1010223030145328,Odciśnięte miejsce (marks)
324,2023-01-30 15:27:48,1010223030142111,Odciśnięte miejsce (marks)
325,2023-01-30 15:27:26,1010223030142102,Odciśnięte miejsce (marks)
326,2023-01-30 15:27:19,1010223030142042,Odciśnięte miejsce (marks)
327,2023-01-30 15:26:57,1010123030141938,Pikos (marks/contamination)
328,2023-01-30 15:26:32,1010123030141928,Pikos (marks/contamination)
329,2023-01-30 15:26:21,1010123030141917,Pikos (marks/contamination)
330,2023-01-30 15:21:10,1010123030141720,Pikos (marks/contamination)
331,2023-01-30 15:02:15,1010123030135237,Rysa (scratch)
332,2023-01-30 15:00:56,1010123030135204,Pikos (marks/contamination)
333,2023-01-30 15:00:37,1010123030135152,Pikos (marks/contamination)
334,2023-01-30 15:00:25,1010123030135130,Pikos (marks/contamination)
335,2023-01-30 14:21:02,1010123030080057,Deformacja (deformation)
336,2023-01-30 14:16:53,1010123030080047,Deformacja (deformation)
337,2023-01-27 11:39:01,1010223027103703,Pikos (marks/contamination)
338,2023-01-27 11:35:08,1010223027103041,Pikos (marks/contamination)
339,2023-01-27 11:34:57,1010223027103032,Pikos (marks/contamination)
340,2023-01-27 11:34:48,1010223027103023,Pikos (marks/contamination)
341,2023-01-27 11:34:37,1010223027103014,Pikos (marks/contamination)
342,2023-01-27 11:34:03,1010223027102946,Pikos (marks/contamination)
343,2023-01-27 11:33:20,1010223027102917,Pikos (marks/contamination)
344,2023-01-27 11:33:12,1010223027101553,Pikos (marks/contamination)
345,2023-01-27 11:32:54,1010223027101544,Pikos (marks/contamination)
346,2023-01-27 10:40:02,1010123027093534,Pikos (marks/contamination)
347,2023-01-27 10:39:37,1010123027093735,Pikos (marks/contamination)
348,2023-01-26 07:44:29,1010223026063849,Deformacja (deformation)
349,2023-01-26 07:44:29,1010223026063849,Deformacja (deformation)
350,2023-01-25 19:17:23,1010223025181426,Deformacja (deformation)
351,2023-01-25 19:17:13,1010223025181417,Deformacja (deformation)
352,2023-01-25 19:17:06,1010223025181409,Deformacja (deformation)
353,2023-01-25 19:14:29,1010223025181203,Deformacja (deformation)
354,2023-01-25 19:11:35,1010223025180852,Deformacja (deformation)
355,2023-01-25 19:11:28,1010223025180843,Deformacja (deformation)
356,2023-01-25 19:11:11,1010223025180816,Deformacja (deformation)
357,2023-01-25 19:11:03,1010223025180816,Deformacja (deformation)
358,2023-01-25 05:23:17,1010123025042139,Deformacja (deformation)
359,2023-01-24 17:33:03,1010123024162948,Rysa (scratch)
360,2023-01-24 17:32:46,1010123024162939,Rysa (scratch)
361,2023-01-24 17:32:37,1010123024162930,Rysa (scratch)
362,2023-01-24 14:39:00,1010123024133719,Wgniot (dent)
363,2023-01-24 08:55:15,1010223024075234,Błąd materiału (meterial failure)
364,2023-01-24 08:17:15,1010123024071253,Deformacja (deformation)
365,2023-01-20 21:39:05,1010223020202034,Pikos (marks/contamination)
366,2023-01-20 21:18:30,1010223020201519,Pikos (marks/contamination)
367,2023-01-20 21:18:23,1010223020201510,Pikos (marks/contamination)
368,2023-01-20 21:18:17,1010223020201452,Pikos (marks/contamination)
369,2023-01-20 21:18:10,1010223020201442,Pikos (marks/contamination)
370,2023-01-20 17:06:16,1010223020160325,Deformacja (deformation)
371,2023-01-20 17:05:44,1010223020155429,Deformacja (deformation)
372,2023-01-20 13:35:09,1010123020122719,Odciśnięte miejsce (marks)
373,2023-01-20 13:34:57,1010123020122659,Odciśnięte miejsce (marks)
374,2023-01-20 13:34:06,1010123020122601,Odciśnięte miejsce (marks)
375,2023-01-20 10:53:01,1010123020094854,Deformacja (deformation)
376,2023-01-20 10:52:54,1010123020094847,Deformacja (deformation)
377,2023-01-20 10:52:38,1010123020094833,Deformacja (deformation)
378,2023-01-20 10:52:26,1010123020094839,Deformacja (deformation)
379,2023-01-20 10:52:15,1010123020094810,Deformacja (deformation)
380,2023-01-20 10:52:05,1010123020094803,Deformacja (deformation)
381,2023-01-20 10:51:57,1010123020094756,Deformacja (deformation)
382,2023-01-20 10:47:31,1010223020094514,Błąd materiału (meterial failure)
383,2023-01-20 10:38:01,1010123020093615,Deformacja (deformation)
384,2023-01-20 08:10:39,1010223020070815,Deformacja (deformation)
385,2023-01-20 06:06:06,1010123020045713,Deformacja (deformation)
386,2023-01-20 06:05:24,1010223020045127,Deformacja (deformation)
387,2023-01-20 05:50:46,1010223020040729,Deformacja (deformation)
388,2023-01-17 20:11:33,1010223017190025,Deformacja (deformation)
389,2023-01-17 20:11:20,1010223017190009,Deformacja (deformation)
390,2023-01-17 20:10:35,1010223017185953,Deformacja (deformation)
391,2023-01-17 18:26:54,1010123017172254,Deformacja (deformation)
392,2023-01-17 18:26:54,1010123017172254,Deformacja (deformation)
393,2023-01-16 12:08:00,1010123016110147,Pęknięcie (cracks)
394,2023-01-16 12:07:49,1010123016110138,Pęknięcie (cracks)
395,2023-01-16 12:06:13,1010123016105119,Pęknięcie (cracks)
