time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:27:40.221 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:27:49.500 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:28:35.911 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:29:13.101 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:29:40.700 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:29:49.989 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:29:59.338 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:30:08.700 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:30:36.539 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:31:04.308 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:31:22.867 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:31:32.226 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:31:59.987 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:32:09.108 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:35:37.664 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:36:23.181 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:36:41.421 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:36:50.461 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:36:59.661 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:37:45.180 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:38:03.339 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:38:12.469 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:38:21.980 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:38:31.190 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:38:49.749 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:38:59.019 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:41:18.217 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:41:27.596 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:42:04.875 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:42:14.065 CET
