time;TraceabilityCode;PressForceValueRL;time.value
2023-01-04 16:17:38.483 CET;1010123004151658;28,2;2023-01-04 16:17:43.003 CET
2023-01-04 16:17:45.763 CET;1010123004151706;28,5;2023-01-04 16:17:50.272 CET
2023-01-04 16:18:00.542 CET;1010123004151721;28,2;2023-01-04 16:18:05.102 CET
2023-01-04 16:18:15.523 CET;1010123004151735;28;2023-01-04 16:18:19.953 CET
2023-01-04 16:18:22.891 CET;1010123004151743;28,2;2023-01-04 16:18:27.302 CET
2023-01-04 16:18:30.471 CET;1010123004151750;28,5;2023-01-04 16:18:34.930 CET
2023-01-04 16:18:37.901 CET;1010123004151757;28;2023-01-04 16:18:42.381 CET
2023-01-04 16:18:45.211 CET;1010123004151805;27,7;2023-01-04 16:18:49.651 CET
2023-01-04 16:18:52.461 CET;1010123004151812;28;2023-01-04 16:18:56.911 CET
2023-01-04 16:18:59.762 CET;1010123004151820;28,2;2023-01-04 16:19:04.180 CET
2023-01-04 16:19:07.111 CET;1010123004151827;27,7;2023-01-04 16:19:11.581 CET
2023-01-04 16:19:14.451 CET;1010123004151835;28;2023-01-04 16:19:18.950 CET
2023-01-04 16:19:21.821 CET;1010123004151842;28,2;2023-01-04 16:19:26.381 CET
2023-01-04 16:19:29.220 CET;1010123004151849;28;2023-01-04 16:19:33.651 CET
2023-01-04 16:19:36.480 CET;1010123004151857;28,2;2023-01-04 16:19:40.911 CET
2023-01-04 16:19:51.319 CET;1010123004151911;27,7;2023-01-04 16:19:55.829 CET
2023-01-04 16:28:23.112 CET;1010123004151933;27,4;2023-01-04 16:28:27.592 CET
2023-01-04 16:28:31.112 CET;1010123004151941;27,7;2023-01-04 16:28:35.512 CET
2023-01-04 16:29:26.081 CET;1010123004151948;26,9;2023-01-04 16:29:32.599 CET
2023-01-04 16:29:38.230 CET;1010123004151956;28;2023-01-04 16:29:42.680 CET
2023-01-04 16:29:45.571 CET;1010123004152748;27,7;2023-01-04 16:29:50.161 CET
2023-01-04 16:29:52.930 CET;1010123004152804;27,4;2023-01-04 16:29:57.430 CET
2023-01-04 16:30:00.230 CET;1010123004152816;28;2023-01-04 16:30:04.690 CET
2023-01-04 16:30:07.510 CET;1010123004152824;27,4;2023-01-04 16:30:12.051 CET
2023-01-04 16:30:14.790 CET;1010123004152930;27,7;2023-01-04 16:30:19.359 CET
2023-01-04 16:30:29.569 CET;1010123004152949;28,2;2023-01-04 16:30:34.039 CET
2023-01-04 16:30:36.970 CET;1010123004152957;27,7;2023-01-04 16:30:41.390 CET
2023-01-04 16:30:44.349 CET;1010123004153004;28,2;2023-01-04 16:30:48.880 CET
2023-01-04 16:30:51.670 CET;1010123004153011;28;2023-01-04 16:30:56.138 CET
2023-01-04 16:30:59.119 CET;1010123004153019;27,7;2023-01-04 16:31:03.559 CET
2023-01-04 16:31:06.430 CET;1010123004153026;28;2023-01-04 16:31:10.839 CET
