,time,TraceabilityCode,PressForceValueFR,time.value
310,2023-01-04 16:49:32.920,1010123004154853,27.7,2023-01-04 16:49:37.349
311,2023-01-04 16:49:40.319,1010123004154901,28.0,2023-01-04 16:49:44.690
312,2023-01-04 16:49:47.579,1010123004154908,27.7,2023-01-04 16:49:52.059
313,2023-01-04 16:49:55.059,1010123004154916,28.0,2023-01-04 16:49:59.519
314,2023-01-04 16:50:09.910,1010123004154930,27.7,2023-01-04 16:50:14.398
315,2023-01-04 16:50:24.769,1010123004154945,28.0,2023-01-04 16:50:29.167
316,2023-01-04 16:50:32.279,1010123004154953,28.2,2023-01-04 16:50:36.759
317,2023-01-04 16:50:46.948,1010123004155007,28.0,2023-01-04 16:50:51.509
318,2023-01-04 16:51:01.688,1010123004155022,28.2,2023-01-04 16:51:06.128
319,2023-01-04 16:51:09.138,1010123004155030,28.5,2023-01-04 16:51:13.668
320,2023-01-04 16:51:16.618,1010123004155037,28.2,2023-01-04 16:51:21.118
321,2023-01-04 16:51:38.746,1010123004155059,28.0,2023-01-04 16:51:43.266
