time;MaxForceFR
2023-02-09 04:42:40.990 CET;1,4
2023-02-09 04:43:01.551 CET;1,3
2023-02-09 04:43:11.628 CET;1,2
2023-02-09 04:43:21.868 CET;1,3
2023-02-09 04:43:32.039 CET;1,1
2023-02-09 04:44:02.509 CET;1
2023-02-09 04:44:12.588 CET;1,1
2023-02-09 04:44:22.749 CET;0,9
2023-02-09 04:51:55.151 CET;1
2023-02-09 04:52:05.470 CET;0,9
2023-02-09 04:52:25.789 CET;1
2023-02-09 04:52:36.040 CET;0,9
2023-02-09 04:52:46.121 CET;1,1
2023-02-09 04:52:56.190 CET;1,4
2023-02-09 04:53:06.349 CET;1,3
2023-02-09 04:53:16.509 CET;1,2
2023-02-09 04:53:26.750 CET;1
2023-02-09 04:53:46.999 CET;1,4
2023-02-09 04:53:57.150 CET;1,3
2023-02-09 04:54:07.398 CET;0,9
2023-02-09 04:55:18.997 CET;1
2023-02-09 04:55:29.076 CET;1,4
2023-02-09 04:55:39.157 CET;1
2023-02-09 04:55:49.316 CET;1,4
2023-02-09 04:55:59.566 CET;1
2023-02-09 04:56:09.717 CET;1,4
2023-02-09 04:56:29.885 CET;1,2
2023-02-09 04:56:40.197 CET;1,3
2023-02-09 04:56:50.357 CET;0,9
2023-02-09 04:57:00.596 CET;1,1
2023-02-09 04:57:10.766 CET;0,9
2023-02-09 04:57:20.845 CET;1
2023-02-09 04:57:30.926 CET;1,1
2023-02-09 04:57:41.084 CET;1
2023-02-09 04:57:51.164 CET;0,9
2023-02-09 04:58:01.394 CET;1
2023-02-09 04:58:11.555 CET;1,1
2023-02-09 04:58:21.813 CET;0,9
2023-02-09 04:58:32.114 CET;1
2023-02-09 04:58:42.273 CET;1,2
2023-02-09 04:58:52.434 CET;1,1
2023-02-09 04:59:02.513 CET;1,4
2023-02-09 04:59:12.602 CET;1,5
2023-02-09 04:59:32.852 CET;1,4
2023-02-09 04:59:43.084 CET;1,1
2023-02-09 04:59:53.163 CET;1,2
2023-02-09 05:00:03.312 CET;1,5
2023-02-09 05:00:13.562 CET;1,1
2023-02-09 05:00:23.641 CET;1,3
2023-02-09 05:00:33.721 CET;1,1
2023-02-09 05:00:43.951 CET;0,9
2023-02-09 05:01:04.282 CET;1,3
2023-02-09 05:01:14.382 CET;1,1
2023-02-09 05:01:34.611 CET;0,9
2023-02-09 05:01:44.851 CET;1,1
2023-02-09 05:02:05.242 CET;0,9
2023-02-09 05:02:15.401 CET;1,3
2023-02-09 05:02:25.562 CET;1,4
2023-02-09 05:02:35.802 CET;1
2023-02-09 05:02:45.891 CET;1,2
2023-02-09 05:02:56.051 CET;1,5
2023-02-09 05:03:06.282 CET;1,1
2023-02-09 05:03:16.440 CET;0,9
2023-02-09 05:03:26.529 CET;1,2
2023-02-09 05:03:36.680 CET;1,4
2023-02-09 05:12:23.154 CET;0,9
2023-02-09 05:12:33.653 CET;0,6
2023-02-09 05:12:43.812 CET;0,9
2023-02-09 05:13:24.611 CET;1,1
2023-02-09 05:13:34.773 CET;1
2023-02-09 05:13:55.332 CET;1,1
2023-02-09 05:14:05.493 CET;1
2023-02-09 05:14:15.811 CET;1,4
2023-02-09 05:14:25.970 CET;1,3
2023-02-09 05:14:36.221 CET;1,4
2023-02-09 05:14:46.371 CET;0,9
2023-02-09 05:14:56.540 CET;1
2023-02-09 05:15:27.009 CET;1,1
2023-02-09 05:15:37.089 CET;1
2023-02-09 05:15:47.338 CET;0,9
2023-02-09 05:16:07.729 CET;1
2023-02-09 05:16:17.900 CET;0,9
2023-02-09 05:16:27.979 CET;1
2023-02-09 05:16:48.219 CET;1,5
2023-02-09 05:16:58.448 CET;1,1
2023-02-09 05:17:19.007 CET;1,4
2023-02-09 05:17:39.417 CET;1,3
2023-02-09 05:17:49.576 CET;1,2
2023-02-09 05:17:59.818 CET;1,4
2023-02-09 05:18:09.977 CET;1
2023-02-09 05:18:50.546 CET;0,9
2023-02-09 05:19:00.625 CET;1,3
2023-02-09 05:19:10.776 CET;0,9
2023-02-09 05:19:31.346 CET;1,1
2023-02-09 05:19:51.655 CET;0,9
2023-02-09 05:20:01.905 CET;1,2
2023-02-09 05:20:11.974 CET;1,3
2023-02-09 05:20:22.144 CET;1,4
2023-02-09 05:20:32.296 CET;1,2
2023-02-09 05:20:42.466 CET;1,4
2023-02-09 05:20:52.535 CET;1,3
2023-02-09 05:21:12.934 CET;1,5
2023-02-09 05:21:23.094 CET;1,2
2023-02-09 05:21:33.265 CET;0,9
2023-02-09 05:21:43.505 CET;1,3
2023-02-09 05:21:53.664 CET;1
2023-02-09 05:25:18.871 CET;0,9
2023-02-09 05:25:40.391 CET;1
2023-02-09 05:25:50.700 CET;0,9
2023-02-09 05:26:21.342 CET;1
2023-02-09 05:26:41.589 CET;1,4
2023-02-09 05:26:51.829 CET;1
2023-02-09 05:27:01.980 CET;1,3
2023-02-09 05:27:12.061 CET;1,4
2023-02-09 05:27:32.309 CET;1,3
2023-02-09 05:27:42.539 CET;1,1
2023-02-09 05:27:52.698 CET;1,2
2023-02-09 05:28:03.029 CET;0,9
2023-02-09 05:28:13.279 CET;1
2023-02-09 05:28:23.338 CET;1,1
2023-02-09 05:32:05.496 CET;1,2
2023-02-09 05:33:54.894 CET;1
2023-02-09 05:34:05.125 CET;0,9
2023-02-09 05:37:01.671 CET;1,2
2023-02-09 05:37:11.841 CET;1
2023-02-09 05:37:22.071 CET;1,1
2023-02-09 05:37:32.312 CET;0,9
2023-02-09 05:37:42.470 CET;1,2
2023-02-09 05:37:52.631 CET;1,3
2023-02-09 05:38:02.789 CET;1,4
2023-02-09 05:38:23.119 CET;1,3
2023-02-09 05:38:33.509 CET;0,9
2023-02-09 05:38:43.828 CET;1
2023-02-09 05:38:53.910 CET;1,1
2023-02-09 05:39:04.078 CET;1,3
2023-02-09 05:39:24.239 CET;1
2023-02-09 05:39:54.798 CET;0,9
2023-02-09 05:40:04.878 CET;1
2023-02-09 05:40:15.039 CET;1,4
2023-02-09 05:40:25.198 CET;0,9
2023-02-09 05:40:35.358 CET;1,1
2023-02-09 05:40:45.598 CET;1,2
2023-02-09 05:40:55.927 CET;1,5
2023-02-09 05:41:06.068 CET;1,1
2023-02-09 05:41:16.237 CET;1
2023-02-09 05:41:26.548 CET;1,4
2023-02-09 05:41:36.717 CET;1,3
2023-02-09 05:41:56.956 CET;1,4
2023-02-09 05:45:03.213 CET;0,9
2023-02-09 05:45:13.361 CET;1,2
2023-02-09 05:45:24.642 CET;1,5
2023-02-09 05:45:34.953 CET;1,1
2023-02-09 05:45:45.191 CET;0,9
2023-02-09 05:46:25.921 CET;1,1
2023-02-09 05:46:36.002 CET;1,4
2023-02-09 05:46:46.240 CET;1
2023-02-09 05:46:56.471 CET;1,4
2023-02-09 05:47:06.561 CET;1,1
2023-02-09 05:47:16.640 CET;0,9
2023-02-09 05:47:26.809 CET;1,1
2023-02-09 05:47:36.950 CET;1,5
2023-02-09 05:47:47.119 CET;1
2023-02-09 05:47:57.279 CET;1,3
2023-02-09 05:48:07.440 CET;1
2023-02-09 05:48:17.599 CET;0,9
2023-02-09 05:48:27.678 CET;1
2023-02-09 05:48:37.759 CET;1,1
2023-02-09 05:48:47.997 CET;0,9
2023-02-09 05:49:08.318 CET;1,1
2023-02-09 05:49:18.407 CET;0,9
2023-02-09 05:49:38.878 CET;1
2023-02-09 05:49:49.046 CET;0,9
2023-02-09 05:50:09.276 CET;1,4
2023-02-09 05:50:19.528 CET;1,1
2023-02-09 05:50:29.687 CET;1,3
2023-02-09 05:50:39.926 CET;1,1
