time;PressForceValueRL
2023-01-02 14:15:03.940 CET;23,2
2023-01-02 14:15:13.130 CET;23,4
2023-01-02 14:15:31.299 CET;23,2
2023-01-02 14:16:16.417 CET;22,9
2023-01-02 14:16:34.407 CET;23,2
2023-01-02 14:16:52.588 CET;23,4
2023-01-02 14:19:02.145 CET;23,2
2023-01-02 14:19:15.075 CET;23,4
2023-01-02 14:19:43.785 CET;23,2
2023-01-02 14:19:52.733 CET;23,4
2023-01-02 14:20:11.384 CET;23,7
2023-01-02 14:20:29.223 CET;24
2023-01-02 14:20:47.223 CET;23,7
2023-01-02 14:21:50.161 CET;24
2023-01-02 14:22:26.351 CET;23,7
2023-01-02 14:22:36.022 CET;24
2023-01-02 14:22:45.062 CET;23,7
2023-01-02 14:22:56.430 CET;24
2023-01-02 14:23:06.009 CET;23,7
2023-01-02 14:23:20.030 CET;24
2023-01-02 14:23:29.530 CET;23,7
2023-01-02 14:23:43.551 CET;24,2
2023-01-02 14:24:07.469 CET;24
2023-01-02 14:25:03.078 CET;23,7
2023-01-02 14:25:18.997 CET;24
2023-01-02 14:26:57.357 CET;23,7
2023-01-02 14:27:16.105 CET;24
2023-01-02 14:27:25.216 CET;23,7
2023-01-02 14:27:34.266 CET;24
2023-01-02 14:27:43.937 CET;23,4
2023-01-02 14:27:52.976 CET;23,7
2023-01-02 14:28:37.865 CET;23,4
2023-01-02 14:29:13.785 CET;23,7
2023-01-02 14:29:22.664 CET;23,4
2023-01-02 14:29:31.615 CET;23,7
2023-01-02 14:29:49.625 CET;24
2023-01-02 14:29:58.585 CET;23,7
2023-01-02 14:31:05.914 CET;23,4
2023-01-02 14:31:22.993 CET;23,7
2023-01-02 14:31:31.542 CET;23,4
2023-01-02 14:31:40.423 CET;23,7
2023-01-02 14:31:58.352 CET;23,4
2023-01-02 14:32:52.020 CET;23,7
2023-01-02 14:33:00.990 CET;23,4
2023-01-02 14:33:09.961 CET;23,7
2023-01-02 14:33:27.950 CET;24
2023-01-02 14:33:36.911 CET;23,7
2023-01-02 14:34:21.779 CET;23,4
2023-01-02 14:34:39.709 CET;23,7
2023-01-02 14:34:57.539 CET;23,4
2023-01-02 14:35:06.509 CET;23,2
2023-01-02 14:35:15.477 CET;23,4
2023-01-02 14:35:24.507 CET;23,2
2023-01-02 14:35:33.558 CET;23,4
2023-01-02 14:36:00.276 CET;23,7
2023-01-02 14:36:24.276 CET;23,4
2023-01-02 14:36:49.628 CET;23,7
2023-01-02 14:37:04.355 CET;23,4
2023-01-02 14:37:19.716 CET;23,7
2023-01-02 14:37:39.145 CET;23,4
2023-01-02 14:38:01.234 CET;23,2
2023-01-02 14:38:10.194 CET;23,4
2023-01-02 14:38:42.283 CET;23,2
2023-01-02 14:38:51.634 CET;23,4
2023-01-02 14:39:10.115 CET;23,7
2023-01-02 14:39:19.085 CET;23,2
2023-01-02 14:39:45.953 CET;23,7
2023-01-02 14:39:55.072 CET;23,4
2023-01-02 14:40:13.144 CET;23,2
2023-01-02 14:43:39.709 CET;22,9
2023-01-02 14:44:11.259 CET;23,4
2023-01-02 14:44:20.437 CET;23,7
2023-01-02 14:44:29.877 CET;24
2023-01-02 14:44:39.078 CET;23,7
2023-01-02 14:44:48.677 CET;23,4
2023-01-02 14:44:57.717 CET;24
2023-01-02 14:45:06.598 CET;23,7
2023-01-02 14:45:15.717 CET;24
2023-01-02 14:45:24.585 CET;23,7
2023-01-02 14:45:33.555 CET;24
2023-01-02 14:45:42.506 CET;23,7
2023-01-02 14:45:51.476 CET;24
2023-01-02 14:46:00.357 CET;23,7
2023-01-02 14:47:21.236 CET;23,4
2023-01-02 14:47:30.204 CET;23,7
2023-01-02 14:48:42.204 CET;23,4
2023-01-02 14:48:51.234 CET;24
2023-01-02 14:49:00.112 CET;23,7
2023-01-02 14:49:09.233 CET;24
2023-01-02 14:49:18.032 CET;23,7
2023-01-02 14:50:03.483 CET;24
2023-01-02 14:50:12.434 CET;23,4
2023-01-02 14:50:21.563 CET;23,7
2023-01-02 14:51:06.282 CET;24
2023-01-02 14:51:24.201 CET;23,7
2023-01-02 14:51:33.322 CET;23,4
2023-01-02 14:51:42.443 CET;23,7
2023-01-02 14:51:51.401 CET;23,4
2023-01-02 14:52:00.282 CET;23,7
2023-01-02 14:52:09.312 CET;23,4
2023-01-02 14:52:18.282 CET;23,7
2023-01-02 14:52:36.362 CET;23,2
2023-01-02 14:52:45.322 CET;23,4
2023-01-02 14:53:03.404 CET;23,2
2023-01-02 14:53:12.454 CET;23,4
2023-01-02 14:53:30.286 CET;23,7
2023-01-02 14:53:39.335 CET;23,4
2023-01-02 14:53:48.305 CET;23,7
2023-01-02 14:54:06.066 CET;23,4
2023-01-02 14:54:15.096 CET;23,7
2023-01-02 14:54:24.058 CET;23,4
2023-01-02 14:54:33.178 CET;23,7
2023-01-02 14:55:00.131 CET;23,4
2023-01-02 14:55:27.102 CET;23,7
2023-01-02 14:55:35.983 CET;23,4
2023-01-02 14:56:11.815 CET;23,2
2023-01-02 14:58:38.240 CET;23,7
2023-01-02 14:58:47.839 CET;23,4
2023-01-02 14:59:05.989 CET;23,2
2023-01-02 14:59:23.918 CET;23,4
2023-01-02 14:59:32.947 CET;23,2
2023-01-02 14:59:42.068 CET;23,4
2023-01-02 14:59:51.108 CET;23,7
2023-01-02 15:00:09.029 CET;23,4
2023-01-02 15:00:17.977 CET;23,2
2023-01-02 15:00:44.878 CET;23,4
2023-01-02 15:00:53.759 CET;23,2
2023-01-02 15:01:11.838 CET;23,7
2023-01-02 15:01:20.717 CET;22,9
2023-01-02 15:01:29.677 CET;23,4
2023-01-02 15:01:47.598 CET;23,2
