time;ClutchBrakeWaterTemperature
2023-01-02 16:52:18.173 CET;29,3
2023-01-02 16:53:18.681 CET;29,2
2023-01-02 16:53:27.941 CET;29,1
2023-01-02 16:54:13.530 CET;29
2023-01-02 16:54:31.700 CET;28,9
2023-01-02 16:54:58.730 CET;29
2023-01-02 16:55:07.779 CET;28,9
2023-01-02 16:55:16.819 CET;28,8
2023-01-02 16:55:25.858 CET;28,9
2023-01-02 16:55:34.898 CET;28,8
2023-01-02 16:56:38.167 CET;28,7
2023-01-02 16:57:14.335 CET;28,6
2023-01-02 16:58:35.865 CET;28,7
2023-01-02 16:58:44.805 CET;28,5
2023-01-02 16:59:29.773 CET;28,4
2023-01-02 17:20:58.486 CET;29,7
2023-01-02 17:21:16.434 CET;29,8
2023-01-02 17:21:25.484 CET;29,7
2023-01-02 17:21:34.434 CET;29,8
2023-01-02 17:22:19.364 CET;29,9
2023-01-02 17:22:28.282 CET;29,8
2023-01-02 17:22:37.233 CET;29,9
2023-01-02 17:22:46.282 CET;29,8
2023-01-02 17:23:04.332 CET;29,9
2023-01-02 17:23:31.161 CET;30
2023-01-02 17:23:49.161 CET;30,1
2023-01-02 17:24:34.119 CET;30,2
2023-01-02 17:24:52.109 CET;30,3
2023-01-02 17:26:04.948 CET;30,4
2023-01-02 17:26:17.479 CET;30,6
2023-01-02 17:26:26.497 CET;30,5
2023-01-02 17:26:44.448 CET;30,7
2023-01-02 17:26:53.319 CET;30,6
2023-01-02 17:27:56.286 CET;30,7
