time;MaxOffCenteredLoadLR
2023-01-02 23:02:29.614 CET;18,9
2023-01-02 23:02:38.815 CET;19,4
2023-01-02 23:02:48.075 CET;20,5
2023-01-02 23:02:57.375 CET;19,4
2023-01-02 23:03:06.585 CET;20,1
2023-01-02 23:03:15.763 CET;18,7
2023-01-02 23:03:24.963 CET;19,3
2023-01-02 23:03:34.243 CET;19,6
2023-01-02 23:03:43.443 CET;19,9
2023-01-02 23:03:52.562 CET;20,3
2023-01-02 23:04:01.773 CET;20,2
2023-01-02 23:04:11.042 CET;19,4
2023-01-02 23:04:20.243 CET;20
2023-01-02 23:04:29.362 CET;18,9
2023-01-02 23:04:38.653 CET;19,6
2023-01-02 23:04:47.772 CET;19,3
2023-01-02 23:04:56.982 CET;19,5
2023-01-02 23:05:06.253 CET;19
2023-01-02 23:05:15.450 CET;18,7
2023-01-02 23:05:24.641 CET;19,8
2023-01-02 23:05:33.930 CET;19,5
2023-01-02 23:05:43.131 CET;18,8
2023-01-02 23:05:52.410 CET;19,6
2023-01-02 23:06:01.609 CET;19
2023-01-02 23:06:10.799 CET;19,5
2023-01-02 23:06:20.160 CET;19
2023-01-02 23:06:29.369 CET;20,2
2023-01-02 23:06:38.640 CET;20,3
2023-01-02 23:06:47.759 CET;18,5
2023-01-02 23:06:56.970 CET;20,7
2023-01-02 23:07:06.180 CET;18,9
2023-01-02 23:07:15.378 CET;19,7
2023-01-02 23:07:24.648 CET;19,4
2023-01-02 23:07:33.779 CET;19
2023-01-02 23:07:42.979 CET;19,7
2023-01-02 23:07:52.257 CET;19,2
2023-01-02 23:08:01.469 CET;18,4
2023-01-02 23:08:10.729 CET;20
2023-01-02 23:08:19.938 CET;18,7
2023-01-02 23:08:29.058 CET;19,2
2023-01-02 23:08:38.328 CET;20,2
2023-01-02 23:08:47.528 CET;19,8
2023-01-02 23:08:56.727 CET;19
2023-01-02 23:09:06.007 CET;19,6
2023-01-02 23:09:15.217 CET;19,9
2023-01-02 23:09:33.767 CET;19,7
2023-01-02 23:09:43.046 CET;19,9
2023-01-02 23:09:52.177 CET;19,3
2023-01-02 23:10:01.467 CET;18,9
2023-01-02 23:10:10.737 CET;19,1
