time;StrokeCounter
2023-02-22 14:34:42.963 CET;26306403
2023-02-22 14:34:51.283 CET;26306404
2023-02-22 14:34:59.684 CET;26306405
2023-02-22 14:35:08.084 CET;26306406
2023-02-22 14:35:16.473 CET;26306407
2023-02-22 14:35:24.793 CET;26306408
2023-02-22 14:35:33.042 CET;26306409
2023-02-22 14:35:41.352 CET;26306410
2023-02-22 14:35:50.082 CET;26306411
2023-02-22 14:35:58.654 CET;26306412
2023-02-22 14:36:07.842 CET;26306413
2023-02-22 14:36:16.963 CET;26306414
2023-02-22 14:36:25.911 CET;26306415
2023-02-22 14:36:34.963 CET;26306416
2023-02-22 14:36:44.082 CET;26306417
2023-02-22 14:36:53.362 CET;26306418
2023-02-22 14:37:02.401 CET;26306419
2023-02-22 14:37:11.441 CET;26306420
2023-02-22 14:37:20.552 CET;26306421
2023-02-22 14:37:29.760 CET;26306422
2023-02-22 14:37:38.801 CET;26306423
2023-02-22 14:37:48.161 CET;26306424
2023-02-22 14:37:57.361 CET;26306425
2023-02-22 14:38:27.180 CET;26306426
2023-02-22 14:38:35.579 CET;26306427
2023-02-22 14:38:44.009 CET;26306428
2023-02-22 14:38:52.329 CET;26306429
2023-02-22 14:39:00.650 CET;26306430
2023-02-22 14:39:08.970 CET;26306431
2023-02-22 14:39:17.289 CET;26306432
2023-02-22 14:39:25.519 CET;26306433
2023-02-22 14:39:33.849 CET;26306434
2023-02-22 14:39:42.648 CET;26306435
2023-02-22 14:39:51.207 CET;26306436
2023-02-22 14:40:00.477 CET;26306437
2023-02-22 14:40:09.519 CET;26306438
2023-02-22 14:40:18.648 CET;26306439
2023-02-22 14:40:27.688 CET;26306440
2023-02-22 14:40:36.798 CET;26306441
2023-02-22 14:40:45.846 CET;26306442
2023-02-22 14:40:54.967 CET;26306443
2023-02-22 14:41:04.086 CET;26306444
2023-02-22 14:41:13.367 CET;26306445
2023-02-22 14:41:22.476 CET;26306446
2023-02-22 14:41:31.687 CET;26306447
2023-02-22 14:41:40.796 CET;26306448
2023-02-22 14:41:51.137 CET;26306449
2023-02-22 14:41:59.607 CET;26306450
2023-02-22 14:42:08.726 CET;26306451
2023-02-22 14:42:17.836 CET;26306452
2023-02-22 14:42:26.805 CET;26306453
2023-02-22 14:42:35.367 CET;26306454
2023-02-22 14:42:57.286 CET;26306455
2023-02-22 14:43:05.696 CET;26306456
2023-02-22 14:43:14.005 CET;26306457
2023-02-22 14:43:22.415 CET;26306458
2023-02-22 14:43:30.726 CET;26306459
2023-02-22 14:43:39.135 CET;26306460
2023-02-22 14:43:47.444 CET;26306461
2023-02-22 14:43:55.855 CET;26306462
2023-02-22 14:44:04.255 CET;26306463
2023-02-22 14:44:12.483 CET;26306464
2023-02-22 14:44:21.043 CET;26306465
2023-02-22 14:44:30.244 CET;26306466
2023-02-22 14:44:39.283 CET;26306467
2023-02-22 14:44:48.404 CET;26306468
2023-02-22 14:44:57.523 CET;26306469
2023-02-22 14:45:06.483 CET;26306470
2023-02-22 14:45:15.694 CET;26306471
2023-02-22 14:45:24.723 CET;26306472
2023-02-22 14:45:33.844 CET;26306473
2023-02-22 14:45:42.882 CET;26306474
2023-02-22 14:45:52.082 CET;26306475
2023-02-22 14:46:01.282 CET;26306476
2023-02-22 14:46:10.332 CET;26306477
2023-02-22 14:46:19.532 CET;26306478
2023-02-22 14:46:28.663 CET;26306479
2023-02-22 14:46:38.082 CET;26306480
2023-02-22 14:46:46.971 CET;26306481
2023-02-22 14:46:56.161 CET;26306482
2023-02-22 14:47:05.132 CET;26306483
2023-02-22 14:47:14.183 CET;26306484
2023-02-22 14:47:23.282 CET;26306485
2023-02-22 14:47:32.413 CET;26306486
2023-02-22 14:47:41.532 CET;26306487
2023-02-22 14:47:50.653 CET;26306488
2023-02-22 14:47:59.842 CET;26306489
2023-02-22 14:48:08.813 CET;26306490
2023-02-22 14:48:18.013 CET;26306491
